palavra,frequencia_total,frequencia_documentos
quatrilhão,2,2
quebec,2,1
caldwell,2,1
calcificar,2,1
quebracabeço,2,2
quebraria,2,2
quebre,2,2
quartelgeneral,2,2
caixer,2,2
caiçar,2,2
1h55,2,2
queiram,2,2
queijadinha,2,1
cake,2,2
cagnoni,2,2
caia,2,2
cain,2,1
caipirosca,2,1
cafeter,2,2
questionamos,2,2
queniano,2,2
quentíssimo,2,2
queridinha,2,2
quibir,2,2
quimono,2,1
quina,2,2
cadjaniner,2,1
cafeicultor,2,1
quintano,2,2
quintasfeire,2,2
quintella,2,1
quietinho,2,2
19h15,2,2
quiosque,2,2
quisermos,2,2
cadear,2,2
cachaças,2,2
quo,2,2
quinzena,2,2
ae re,2,2
ae ssento,2,2
québec,2,2
quéops,2,1
quênia,2,2
aerar,2,2
cabra,2,2
cabrito,2,2
radiar,2,1
rabelo,2,1
cacauicultor,2,2
caccia,2,1
cabeçadechave,2,1
racionamento,2,1
racionar,2,2
racistar,2,1
radicalmente,2,2
búzio,2,1
c5,2,2
rafale,2,1
raju,2,1
rainer,2,2
1990s,2,2
cabidela,2,1
cabecer,2,2
bósnios,2,1
bôas,2,2
bônu,2,2
rakitic,2,1
ral,2,1
rali,2,2
ralo,2,2
raised,2,1
ramificação,2,2
bárions,2,1
básica,2,2
béarnaise,2,2
bélgica,2,2
ramirez,2,2
ran,2,2
range,2,2
rangel,2,2
rankings,2,2
ranqueado,2,2
raqqar,2,1
raqqer,2,1
raqqo,2,1
rara,2,2
raos,2,1
rapadura,2,2
rapaziar,2,2
raspas,2,2
buzacarini,2,1
bwalya,2,1
ratatouille,2,2
ratier,2,2
raríssimo,2,2
busquei,2,2
butantã,2,2
raspo,2,2
ração,2,2
ratzenberg,2,1
raulzinho,2,1
reabastecimento,2,1
butowsky,2,1
buscarar,2,2
burgman,2,1
burgo,2,1
burnley,2,2
bulltag,2,1
realidader,2,2
realismo,2,2
react,2,1
reading,2,2
reage,2,2
reager,2,2
reaproximar,2,2
reaproximação,2,2
reassumir,2,2
198687,2,2
burck,2,1
bufês,2,2
reanalisar,2,1
rebelde,2,2
rebobine,2,1
reboco,2,2
reativar,2,2
realizei,2,1
realizo,2,2
buechel,2,1
buehler,2,1
rebelar,2,2
recebêlo,2,2
receever,2,2
receiar,2,2
receitado,2,2
recarregar,2,2
receba,2,2
buena,2,2
buffarinir,2,1
bua,2,1
receptore,2,2
bubka,2,1
bud,2,1
bruxela,2,1
bruxo,2,2
recepçãor,2,2
recesso,2,2
rechaza,2,1
brückner,2,1
bt,2,2
recinto,2,2
recompenso,2,2
recluso,2,2
reconciliar,2,2
reconduzir,2,2
reconhecemo,2,2
reconhecesse,2,2
recolocálo,2,1
recomendável,2,2
reconstruír,2,1
brusco,2,2
brutalmente,2,2
recomprar,2,1
record,2,2
reconheçar,2,2
reconheço,2,2
reconsiderar,2,2
reconstituir,2,2
recriar,2,2
bruce,2,1
brooklin,2,2
brooklynr,2,2
recuo,2,2
recuperario,2,2
recuperarmos,2,2
recorreu,2,2
recusase,2,1
brogui,2,1
broinha,2,1
recémcontratar,2,2
recémcriar,2,2
recémnascido,2,2
recusarar,2,1
recémpublicar,2,2
recémsaído,2,2
recíproco,2,1
recém,2,2
bronco,2,2
aeroespacial,2,2
recémpromovir,2,1
redefinir,2,2
197,2,2
redentor,2,2
reedijk,2,2
reelegeu,2,2
redondeza,2,2
redondezas,2,2
redundância,2,1
reentrar,2,2
brl,2,1
broa,2,2
refeitar,2,2
refeitório,2,2
reeleiçãor,2,2
reerguer,2,2
brocha,2,1
brincou,2,2
brinde,2,2
brincalhona,2,2
referemse,2,2
referendar,2,2
referendo,2,2
reformatório,2,1
refino,2,2
refleti,2,2
brio,2,2
brigitte,2,2
regalio,2,2
regarding,2,2
regat,2,1
refri,2,1
brevemente,2,2
briantir,2,1
briefing,2,2
reginaldo,2,1
1957,2,2
reger,2,2
reggae,2,2
brejo,2,2
brendel,2,2
breque,2,2
reinaugurar,2,2
regressivo,2,2
regularizar,2,2
reintroduzir,2,2
reinvestir,2,2
reinício,2,2
reisz,2,1
reitera,2,2
bretão,2,2
braçadeira,2,2
reiniciar,2,2
brayan,2,2
reivindicarar,2,1
remador,2,2
relações,2,2
remeter,2,2
remetir,2,2
remf,2,1
relutante,2,2
relutar,2,2
remendar,2,2
brasileirosueco,2,1
brasileños,2,2
remotamente,2,2
remove,2,2
remoçãor,2,2
braile,2,1
branca,2,2
1942,2,2
braseiro,2,1
renaud,2,1
brando,2,2
renault,2,2
renaultrenault,2,1
rente,2,2
renuncia,2,2
renzar,2,2
renewal,2,1
rennir,2,1
renome,2,2
braddock,2,1
bradie,2,1
bowls,2,2
rentabilidade,2,1
repatriar,2,1
repatriação,2,1
repa,2,1
repactuação,2,1
replay,2,1
repasso,2,2
repito,2,2
bourget,2,1
boutique,2,1
botelho,2,2
botox,2,1
bottle,2,2
replico,2,2
repor,2,2
repetilo,2,2
repitar,2,1
reports,2,2
repousa,2,2
botto,2,1
botturo,2,1
botucatu,2,2
boshoff,2,1
borrachario,2,2
repriser,2,1
reproduzer,2,2
reprogramação,2,2
bote,2,2
borgonhar,2,2
borjo,2,2
repulsão,2,2
reputaçãor,2,2
requerio,2,2
requerir,2,2
repudiar,2,2
repugnante,2,2
boschilia,2,2
1931,2,1
1938,2,2
1913,2,1
borracharia,2,1
borg,2,1
booed,2,1
book,2,2
rescisór,2,2
residents,2,2
residual,2,1
requisição,2,2
rer,2,2
respaldar,2,2
residênciar,2,2
resiste,2,2
bonadio,2,1
bonde,2,2
resoluçãor,2,2
resolvêlo,2,2
respiração,2,2
responsibility,2,2
responsible,2,1
bolívio,2,2
bombar,2,2
bolho,2,2
restabelecer,2,2
resposto,2,2
ressalvar,2,2
ressarcir,2,2
ressurgir,2,2
boliche,2,2
bolovo,2,2
boiron,2,1
bois,2,2
ressurreição,2,2
boeing,2,2
ressoar,2,2
ressurgar,2,2
restaurantar,2,2
bocado,2,2
bocha,2,2
restobar,2,2
reticente,2,2
retino,2,2
restô,2,2
restauro,2,1
boiar,2,2
reto,2,2
retome,2,2
retaliação,2,2
retração,2,2
bochecha,2,2
bochecho,2,2
afegã,2,1
afeitar,2,2
retira,2,2
retire,2,1
retrospectiva,2,2
retranca,2,2
retângulo,2,2
retórica,2,2
retórico,2,2
reunificar,2,2
reunio,2,2
afetado,2,2
bobby,2,1
revancher,2,2
reuniria,2,2
1912,2,2
19121980,2,2
1898,2,2
bobó,2,2
blumenau,2,2
1906,2,2
revesamento,2,1
revestimento,2,2
1903,2,2
1904,2,2
revistas,2,2
bnei,2,1
boanova,2,1
bloque,2,1
reyner,2,2
rhineheart,2,1
rhodniu,2,1
rhodnius,2,1
rexonasescr,2,1
rey,2,1
reykjavík,2,1
reynaldo,2,2
rg,2,2
bluewings,2,1
bler,2,2
ricard,2,1
ricardinho,2,2
righetti,2,1
block,2,2
blogs,2,2
blogueira,2,2
blakeman,2,1
blau,2,1
bledsoe,2,1
rich,2,2
bizarrice,2,2
bk,2,1
rio2007,2,2
rio2013,2,1
rio2016comingresso,2,1
rio2016comreembolso,2,1
riocentror,2,1
ring,2,2
ringuar,2,2
riquezo,2,2
risado,2,2
bisonho,2,2
bisque,2,2
bistrito,2,1
bistrôsr,2,2
bittencourt,2,1
rio20,2,2
ristorante,2,2
rithely,2,1
bish,2,1
ritz,2,2
riu,2,2
risotter,2,1
birney,2,1
birrar,2,1
biscoitinho,2,2
18a,2,2
18h00,2,2
riviera,2,2
robrir,2,2
robuchonr,2,2
robusta,2,2
road,2,2
robalo,2,2
robben,2,2
robbery,2,2
bisneto,2,2
robôs,2,2
rocar,2,2
rochosos,2,2
bioma,2,2
rodagem,2,2
rogge,2,2
binário,2,2
binóculo,2,2
bio,2,2
biodiversificação,2,1
bioimpressora,2,1
roll,2,2
rolle,2,1
rody,2,1
rogerinho,2,1
rogerio,2,2
romo,2,2
rompe,2,2
rolles,2,1
rolê,2,1
roma2009,2,1
rojito,2,1
billy,2,2
bilíngue,2,2
romântico,2,2
romã,2,2
romênia,2,2
ron,2,2
ronda,2,2
rondo,2,2
romarinho,2,1
roquefort,2,2
bien,2,2
bicicletar,2,2
rosano,2,2
rossoferrari,2,1
rosarina,2,1
rosas,2,1
rosbife,2,2
roscosmo,2,2
rose,2,2
roseli,2,1
rosemary,2,1
room,2,2
roslin,2,1
bicicletário,2,2
bid,2,2
bielawski,2,1
rossetto,2,1
rotisser,2,2
rotisserio,2,2
rosângela,2,1
rosésr,2,2
rotatividade,2,2
roterdã,2,2
rothko,2,1
bh,2,2
rotineiramente,2,2
biatleta,2,1
bevilacqua,2,1
1880,2,2
1896,2,2
1820,2,2
rotular,2,2
rouba,2,2
roterdãr,2,2
187,2,2
rt,2,1
rtl,2,2
roupo,2,2
bezerrospe,2,1
besteiro,2,2
rozzino,2,1
bestseller,2,2
beterrabar,2,2
betis,2,2
rp,2,2
rubaiyat,2,1
berço,2,2
besolí,2,2
runner,2,2
rupestr,2,1
rupestre,2,1
rugido,2,2
rugir,2,2
rugoso,2,2
ruidosamente,2,2
ruir,2,2
berti,2,2
berland,2,2
berlim1936,2,2
ryoji,2,2
rupturar,2,2
ruralista,2,2
rus,2,2
ruschel,2,2
rusga,2,2
rush,2,2
rápidar,2,2
rápir,2,2
rãs,2,1
récord,2,1
russoamericano,2,2
russoeuropeia,2,2
russos,2,2
réplico,2,2
bermuda,2,2
bernardi,2,1
benção,2,2
réver,2,2
berbick,2,1
berchtold,2,1
régis,2,2
réplicar,2,2
rúculo,2,2
rússia2018,2,2
rússier,2,1
rústica,2,2
róger,2,2
rôti,2,2
bentô,2,1
bentôs,2,2
benzema,2,2
beneficiária,2,2
saberir,2,2
sabeser,2,2
saborear,2,2
sabatino,2,2
bengalar,2,2
bengalo,2,2
sabir,2,2
sadia,2,2
sacanear,2,1
saciar,2,2
sabia,2,2
safro,2,2
saga,2,2
sacks,2,2
sacolé,2,1
saher,2,1
sai,2,2
saeki,2,1
safadeza,2,1
sagitário,2,1
sagrandose,2,1
saison,2,2
saiajusta,2,2
saiar,2,2
saibam,2,2
sailor,2,1
saintgerman,2,2
salah,2,2
sairer,2,2
saise,2,2
beneficio,2,2
bemfeito,2,2
salguero,2,2
salinho,2,2
salish,2,1
salivo,2,2
salles,2,2
salario,2,2
salemi,2,1
salonu,2,1
bemsucedida,2,2
bemvindo,2,2
salmon,2,1
salon,2,2
belíssimo,2,2
bell,2,1
bella,2,2
1799,2,1
salva,2,2
samosa,2,2
samoso,2,1
sampaka,2,1
salvos,2,2
samaritano,2,1
sambaqui,2,1
sambo,2,1
same,2,2
samir,2,2
bellomo,2,1
belezo,2,2
samoa,2,2
beisebolsoftbol,2,2
beiço,2,2
belarus,2,2
samuel,2,2
samuelson,2,1
sanders,2,1
sandwich,2,2
sang,2,1
sangramento,2,2
belgomineira,2,1
began,2,1
bege,2,2
sangrar,2,1
sapato,2,2
beethoven,2,1
saporta,2,1
santero,2,1
belchior,2,2
sarkozy,2,1
sarney,2,2
sarraceno,2,1
saquês,2,2
bebidas,2,2
sat,2,1
sarapatel,2,2
saravá,2,1
sardinho,2,2
bebedeira,2,2
bebedor,2,2
sauberferrari,2,1
sarsfield,2,2
be e,2,2
be ellucci,2,1
bears,2,2
saying,2,2
scander,2,1
sazonalidade,2,2
scaglia,2,1
bblend,2,1
bcs,2,1
scarpelli,2,2
scene,2,1
schaefer,2,2
bavaskar,2,1
baynhar,2,1
schroder,2,1
scielo,2,2
sciences,2,2
scientist,2,2
schnitzel,2,2
scholarship,2,1
baumann,2,2
batepapar,2,2
scorpii,2,1
scotland,2,2
scrummager,2,1
sea,2,2
seara,2,2
bath,2,1
batismo,2,2
17mar1942,2,2
17set2016,2,2
season,2,2
secador,2,2
secagem,2,2
scrofa,2,1
scrum,2,2
17h00,2,2
17h15,2,1
secretárioadjunto,2,1
secondlargest,2,2
seconds,2,1
secretamente,2,2
secretariaexecutivar,2,1
secretariaexecutivo,2,1
secretarias,2,2
afixar,2,2
afligir,2,2
batali,2,2
secretáriageral,2,1
seeing,2,2
seen,2,2
sedento,2,2
sediado,2,2
bate,2,2
bastião,2,2
sedir,2,2
sedutor,2,2
seduzir,2,2
seguimo,2,2
seguiramse,2,2
seguiremo,2,1
seguirir,2,2
1794,2,2
segundasfeira,2,2
basílico,2,1
basketball,2,2
bass,2,1
seguradora,2,1
seio,2,2
seita,2,2
1776,2,1
178,2,2
1780,2,1
seguridad,2,2
baseado,2,2
baseiar,2,2
selva,2,2
seixo,2,2
selado,2,2
bart,2,2
baru,2,2
barulhento,2,2
seleto,2,2
self,2,2
barroso,2,2
selvar,2,2
semelhanço,2,2
senckenberg,2,2
seneferu,2,1
senhorito,2,1
senior,2,2
sensacionalismo,2,2
barragem,2,2
barraquinhar,2,2
sentenciar,2,2
sensato,2,1
sensibilidader,2,2
senegal,2,2
171,2,2
1710,2,2
sentimental,2,2
sentiuse,2,2
sentarar,2,1
seppelt,2,1
baresi,2,1
barnivore,2,1
barcelon,2,2
sepultar,2,2
sequela,2,2
sequestro,2,2
barcelusa,2,1
barbarense,2,1
sergeev,2,1
served,2,2
sermão,2,2
sereia,2,2
sertaneja,2,2
sertanejar,2,2
barberan,2,1
servi,2,2
service,2,2
servirá,2,2
serrano,2,2
bantel,2,1
16ª,2,2
166,2,2
sescsporgbrbelenzinho,2,2
sesisp,2,1
barattino,2,2
barbara,2,2
severiano,2,2
severidade,2,2
seta,2,2
setenta,2,2
setorial,2,1
banzeiro,2,2
baque,2,2
afro,2,2
severa,2,2
severamente,2,2
sha,2,2
sexista,2,1
sexos,2,2
sextar,2,2
sextasfeira,2,2
setyon,2,1
shahe,2,2
sexualmente,2,2
sexwale,2,2
señalar,2,2
afrodescendente,2,2
afugentar,2,2
afunda,2,1
afirma,2,2
baniu,2,2
bank,2,1
shaw,2,1
shell,2,2
shepherd,2,2
shario,2,1
sharp,2,2
shiitake,2,2
shimeji,2,2
shiraishir,2,2
shit,2,1
shootout,2,2
sherkow,2,1
sichuan,2,2
sico,2,2
shoreditch,2,2
short,2,2
shosholli,2,1
showtime,2,2
banquete,2,2
banqueteira,2,1
sidir,2,2
sidney2000,2,1
banha,2,2
bandagem,2,2
bandar,2,1
bandeirada,2,2
sigilosamente,2,2
sigmund,2,2
sideral,2,2
161,2,2
significante,2,2
significaria,2,2
significario,2,2
significativamente,2,2
sierks,2,1
1673171,2,1
bananar,2,1
bancado,2,2
168,2,2
169,2,2
signs,2,1
sigo,2,2
sigue,2,1
silenciar,2,2
silla,2,2
silo,2,1
silvani,2,1
silver,2,2
silvestr,2,2
silvio,2,2
simpsom,2,2
bancoc,2,2
balé,2,1
balde,2,2
baleio,2,1
balizar,2,1
simonián,2,1
simplista,2,2
balancear,2,2
balbino,2,1
simpósio,2,2
sina,2,2
singapura,2,2
sinalizador,2,1
sincera,2,2
balado,2,2
baião,2,2
sipinski,2,1
sinkim,2,1
sismo,2,2
baila,2,2
bailar,2,2
baile,2,1
baitar,2,2
sismógrafo,2,1
sistematizar,2,2
sistêmico,2,2
sirius,2,2
sirois,2,1
baden,2,1
slogan,2,2
skill,2,2
slave,2,2
bahio,2,2
bahrein,2,2
smirnov,2,1
smog,2,1
snowboard,2,2
soberania,2,2
soborno,2,2
sobrancelha,2,2
sobrancelho,2,2
snap,2,1
backr,2,2
sobrevivir,2,2
sobrevivo,2,1
sobrevivênciar,2,2
badalado,2,2
badaró,2,2
agarr,2,2
agarrálo,2,2
agassi,2,2
afortunar,2,2
bacellar,2,2
sociólogo,2,2
sock,2,2
sobrevoo,2,2
bacharel,2,2
sofre,2,2
sofrível,2,2
sodré,2,2
açougue,2,2
açucarado,2,2
aécio,2,2
añade,2,1
1600,2,2
azzurra,2,2
soldier,2,2
sofrido,2,2
solte,2,1
solidariza,2,2
solidarizar,2,2
solidificar,2,2
solanaceae,2,1
año,2,2
ayanbadejo,2,1
azedinha,2,2
azedo,2,2
solitária,2,2
sombrar,2,2
someone,2,1
somatóriar,2,2
song,2,2
azeitona,2,2
avoid,2,2
avulso,2,2
award,2,2
awards,2,2
sonolento,2,2
sophia,2,2
soprano,2,2
sorocabano,2,2
avistar,2,2
avisálo,2,2
aviv,2,2
soto,2,2
soubemos,2,2
sorry,2,1
sorveteria,2,2
sorveterio,2,2
soquinho,2,2
sor,2,2
sossegar,2,2
avenuar,2,2
aversão,2,2
sossego,2,2
sotero,2,2
source,2,2
spa,2,2
15h45,2,2
avaír,2,2
aveia,2,2
aveludar,2,2
avelã,2,2
avalista,2,2
spent,2,1
spfc,2,2
spaletti,2,2
southwest,2,1
spirito,2,1
splitter,2,2
spence,2,1
squarza,2,1
spilki,2,1
spintharus,2,1
spínola,2,1
squad,2,2
avancei,2,2
avantajar,2,2
agenciar,2,2
agencies,2,1
springs,2,2
stefan,2,2
stanikzai,2,1
starbuck,2,1
starck,2,1
stardust,2,2
stargazer,2,1
squash,2,2
sriharikota,2,1
stateowned,2,1
afã,2,2
auxíliomoradiar,2,2
stepanova,2,2
steph,2,1
started,2,1
starting,2,2
avaliam,2,2
avaliamos,2,2
autuação,2,2
store,2,2
storm,2,2
storr,2,1
strategic,2,2
stevar,2,2
autoritário,2,1
stuart,2,2
stress,2,2
autossuficiente,2,2
autoimunes,2,1
autoproclamar,2,2
autopromoção,2,2
struwe,2,1
subaru,2,1
subcomitê,2,2
subduccção,2,1
autoimune,2,1
submergir,2,2
subestimar,2,2
subfamília,2,1
subida,2,2
subido,2,2
subio,2,2
sublicenciar,2,2
sublime,2,2
autoestima,2,2
autoestimo,2,1
austrálio,2,2
subornar,2,2
subsecretária,2,2
subtropical,2,2
subsistência,2,2
substancialmente,2,2
substituíam,2,2
subo,2,2
sucedida,2,2
substituíla,2,2
substituílo,2,2
substâncer,2,2
subtipo,2,2
subtração,2,2
157,2,2
subversão,2,2
august,2,2
austral,2,2
australian,2,2
aureá,2,1
sudester,2,2
sucessivamente,2,2
suchr,2,2
sucinto,2,2
sucre,2,2
subtítulo,2,2
sucursal,2,2
aular,2,2
aglomerado,2,2
aglomeração,2,2
auditório,2,2
sueca,2,2
suflê,2,2
suiço,2,2
sujeiro,2,2
sukiyaki,2,1
sugeriria,2,2
audrey,2,2
audacioso,2,2
suicida,2,1
summermatter,2,1
sullivan,2,1
sunderland,2,1
sunita,2,2
suns,2,1
suntory,2,1
superaçãor,2,2
atualidader,2,2
atue,2,2
atuer,2,2
supercontinente,2,1
suorr,2,2
superado,2,2
superamos,2,2
superpotência,2,2
attack,2,1
attribute,2,2
supremacia,2,2
supertelescópio,2,2
superálo,2,2
supetão,2,2
suplementação,2,2
supernova,2,1
superpopulação,2,1
atrelar,2,2
atributo,2,2
atrofia,2,2
atrase,2,2
suprassumo,2,2
suricombr,2,2
surdo,2,1
suporta,2,2
152,2,2
surrado,2,2
atratividade,2,2
atravancar,2,1
survey,2,1
surpreendir,2,2
surprising,2,2
surprês,2,2
suspendir,2,2
suspensar,2,2
agnolin,2,1
agnolotti,2,2
agnor o,2,2
sustainability,2,1
sushir,2,2
suspeitamos,2,2
suspended,2,2
suzano,2,2
ago,2,2
ago2016,2,2
agonia,2,2
atolar,2,2
swan,2,2
atlântica,2,2
swarm,2,1
sutikna,2,1
sweethings,2,1
swimming,2,2
switzerland,2,2
suécir,2,2
systir,2,2
atlas,2,2
atletao,2,2
atingilo,2,2
atinja,2,2
sá,2,2
sálvia,2,2
sánchez,2,2
atipicidade,2,1
atirador,2,2
ativamente,2,2
14mar,2,2
agnarsson,2,1
sí,2,1
sílico,2,1
sóis,2,2
agradecemos,2,2
súbita,2,1
súmular,2,2
tabaco,2,2
sóciostorcedor,2,1
tablet,2,2
atibaia,2,2
atingem,2,2
aterrar,2,1
tabuir,2,1
tacacá,2,2
tacho,2,2
tacu,2,1
taberno,2,1
tablado,2,1
tablar,2,2
atesta,2,2
atendar,2,2
atenderio,2,2
atendia,2,2
atendimentonutricaoeacaocombr,2,1
taison,2,2
tadashi,2,2
taddeucci,2,1
tadic,2,1
takabatake,2,1
talharim,2,2
ataider,2,2
atalo,2,2
atelier,2,2
talita,2,2
talking,2,1
tallinn,2,1
talo,2,2
tamal,2,1
tamar,2,2
atenas04,2,2
ataca,2,2
atacálo,2,2
tampão,2,2
tanaka,2,2
astrologia,2,1
astrólogo,2,1
tantar,2,2
tapo,2,2
tappo,2,2
astana2015,2,1
assumiriar,2,2
tardelli,2,2
tarja,2,2
assuntar,2,2
agravamento,2,2
agredido,2,2
tass,2,1
taxista,2,2
tate,2,1
agreed,2,1
agregador,2,2
associaçãor,2,2
tax,2,1
1495,2,2
1498,2,1
1417,2,2
tbm,2,2
tchec,2,2
tchecoslováquia,2,2
assuma,2,1
assumiar,2,2
1484,2,2
1489,2,2
149,2,2
tecla,2,2
tecnosolo,2,1
te op,2,2
1471,2,2
assocer,2,2
tecer,2,2
technogym,2,1
telecomunicação,2,2
tedioso,2,2
teia,2,2
assistencial,2,2
assessoriar,2,2
telegráfico,2,2
teleguiar,2,1
telescope,2,2
1463,2,1
temperamento,2,2
televisãor,2,2
assado,2,2
assalariar,2,2
assassino,2,1
assef,2,2
asma,2,2
tendar,2,2
tempere,2,1
tempestades,2,2
1420,2,2
tenisto,2,2
tempranillo,2,1
aspirina,2,1
tempura,2,1
tempão,2,2
tentamos,2,2
tenente,2,2
teneo,2,1
asahi,2,2
tentarer,2,2
tentasse,2,2
tentassem,2,2
tennessee,2,2
tennessine,2,1
asfixia,2,2
asilo,2,2
asinha,2,2
arábio,2,2
terapio,2,2
terceirização,2,2
terceirosargento,2,1
termino,2,2
ascendente,2,2
terminologia,2,2
terapeuta,2,2
terapiar,2,2
141,2,2
1410,2,2
arturo,2,2
artigiano,2,2
tereza,2,1
agridir,2,2
agroindústria,2,1
terçafeirar,2,2
terçafeiro,2,2
terçar,2,2
testála,2,2
tethys,2,1
artisticamente,2,2
arter,2,2
arterial,2,2
articulador,2,2
tetris,2,1
texturar,2,2
artificialmente,2,2
arsić,2,1
arsène,2,2
testemunhamos,2,2
arrojo,2,2
thought,2,2
thousand,2,2
thiego,2,1
things,2,2
thaísa,2,2
theme,2,1
arrepia,2,1
arrested,2,1
arrefecimento,2,2
arregimentar,2,2
arremate,2,2
tianjin,2,1
ticket,2,2
tiefenthaler,2,1
tienen,2,2
tifoide,2,1
thursday,2,2
arranquei,2,2
arrascaeta,2,2
arrasto,2,2
tiki,2,2
arraial,2,1
arranhão,2,2
timor,2,1
timothy,2,1
arquibancado,2,2
armênia,2,2
timo,2,2
title,2,1
titubear,2,2
tire,2,2
tirer,2,2
tirinho,2,2
tirone,2,2
tivolir,2,1
tlc,2,1
arouca,2,2
toada,2,2
titan,2,2
titanossauro,2,1
armiñano,2,1
armour,2,1
tocálo,2,2
titã,2,2
tolima,2,1
todavia,2,2
toddy,2,1
tofr,2,2
toldo,2,2
armadilho,2,2
armadora,2,1
armazena,2,2
arianir,2,2
ariano,2,2
tomografia,2,2
toluco,2,1
tokio,2,1
tomsic,2,1
tomógrafo,2,2
ton,2,1
tonel,2,1
tonelado,2,2
tombaugh,2,1
tombo,2,1
arielr,2,2
1350,2,2
1357,2,2
torcendo,2,2
tonto,2,2
took,2,2
arginase,2,1
torchio,2,1
torinor,2,2
tormenta,2,2
tormento,2,2
tornamse,2,2
torneira,2,2
agressor,2,2
argentinar,2,2
argila,2,2
toroca,2,2
argélia,2,2
ari,2,2
arejar,2,2
aresta,2,1
tornarir,2,2
tornarse,2,2
arcoíri,2,1
arder,2,2
torter,2,1
tortuoso,2,2
torresmos,2,2
torso,2,2
arcabouço,2,1
arcaicar,2,2
arcanjo,2,1
touchback,2,1
tourists,2,2
tours,2,2
tower,2,2
toste,2,2
totter,2,2
arboleda,2,1
arborizar,2,1
trabajador,2,2
trabalha,2,2
toucinho,2,2
trabalharar,2,1
trabalharr,2,2
toyota,2,2
arbóreo,2,2
arapuá,2,1
arar,2,2
araraquarar,2,2
ararar,2,2
trace,2,2
trajano,2,1
traduzer,2,2
traduzirio,2,2
trafford,2,2
traga,2,2
aquífero,2,2
aracnídeo,2,2
arame,2,2
arancino,2,2
aranh,2,1
aranhar,2,2
aquiramum,2,2
trampo,2,2
trancafiar,2,2
transcorrir,2,2
transeunte,2,2
transfer,2,2
tranquila,2,2
tranquilizar,2,2
transfermarkt,2,2
aproxime,2,2
translational,2,2
transmitar,2,1
transformadora,2,2
transformouse,2,2
transgênero,2,2
transitu,2,1
transitório,2,2
apóstolo,2,1
aquarídea,2,1
aproximasse,2,2
aproximaçãor,2,2
transparêncer,2,2
127,2,2
apta,2,1
agudo,2,2
aguero,2,2
aguerrir,2,2
agur,2,2
aprovo,2,1
transport,2,2
transmiter,2,2
trator,2,2
trattor,2,1
trará,2,2
trash,2,2
tratamse,2,2
transplantar,2,2
transpor,2,2
traumático,2,2
travessa,2,2
travessio,2,1
tratarr,2,2
aprofundado,2,2
apropriação,2,2
travestis,2,1
través,2,2
trazida,2,2
trazêla,2,2
trevisani,2,1
trevor,2,1
tremeu,2,2
tração,2,2
trepco,2,1
aprovados,2,2
apresentouse,2,2
aprendizagem,2,2
apresentarer,2,2
triangular,2,2
trijet,2,1
tributação,2,2
aprecia,2,2
apreciador,2,2
trindade,2,1
tripadvisor,2,1
trienal,2,2
123,2,2
1240,2,2
appeal,2,1
apple,2,2
aposentadoriar,2,2
apodrecer,2,2
apodrecido,2,2
trisco,2,1
tristezo,2,2
triturar,2,2
trocadilho,2,2
apoiálo,2,2
agüero,2,2
ahmad,2,2
trocir,2,2
troicki,2,1
truculento,2,2
trufar,2,2
tronco,2,2
troncudo,2,2
try,2,1
aguardente,2,2
trucidar,2,2
trêmulo,2,2
trêsestrelas,2,2
tsukagoshi,2,1
tsukiji,2,1
tsumura,2,2
trust,2,2
apinhar,2,2
tubinga,2,1
tubingo,2,1
tubinho,2,2
tubaína,2,2
aplacar,2,2
aperta,2,2
apertura,2,1
tunisiano,2,2
tubular,2,2
apaziguar,2,2
apego,2,2
tulio,2,1
tutu,2,2
tunísio,2,1
tup,2,2
tupiguarani,2,2
tur,2,2
turbinagem,2,1
turbinar,2,2
tushishvili,2,1
apelir,2,2
aparecia,2,2
aparecimento,2,2
tutano,2,2
tutelar,2,1
apanhador,2,1
tássio,2,2
tvs,2,2
twice,2,2
twin,2,1
tyc,2,2
apaixonado,2,2
tyrrell,2,2
tzompantli,2,1
tímer,2,2
tímir,2,2
túlio,2,2
anything,2,2
tênuar,2,2
uab,2,1
uau,2,2
ubatuba,2,2
ucrânio,2,1
uefo,2,2
uerj,2,2
anulação,2,2
aifo,2,2
aim,2,1
ufrgs,2,1
umbandista,2,1
umbigo,2,2
ultimato,2,2
ultrapassagem,2,2
11915,2,1
airline,2,2
antunes,2,2
antuérpia1920,2,2
unable,2,2
unificação,2,2
unclinic,2,1
antlers,2,2
antonietta,2,2
union,2,2
uniso,2,1
unicelular,2,2
unifesp,2,2
uniu,2,2
uniformemente,2,2
uniformizar,2,2
unlike,2,2
until,2,1
ununoctium,2,2
ununpentiumr,2,2
ununseptium,2,2
upps,2,1
uptrend,2,1
antiinflamatório,2,1
antiviral,2,2
anticorrupção,2,2
antidopagemr,2,2
antiguidades,2,2
urruzmendi,2,1
unúntrio,2,2
urschel,2,1
urucum,2,2
urumin,2,1
uruminr,2,1
urf,2,1
1150,2,2
usariam,2,2
anticiterar,2,1
anticoagulante,2,2
114507,2,1
11490,2,2
utilitarista,2,1
antecipadamente,2,2
antemão,2,2
antepasto,2,1
usálos,2,2
usávamo,2,2
utilizamos,2,2
utilizálo,2,2
uuo,2,2
uup,2,2
uus,2,2
uut,2,2
vagabur,2,2
vagar,2,2
vagarosamente,2,2
vagem,2,2
uzbeque,2,2
ué,2,2
